id,name,category,what,primaryAuth,authMethods,access,accessDetail,apiStyle,breadth,mcp,mcpScope,verdict,priority,blocker,confidence,evidence,verifiedAt
16,LiveAgent,Support and Helpdesk,"Helpdesk platform for tickets, chats, calls, contacts, departments, knowledge base, and reports.",API key,API key,Self-serve,A trial account exposes API credentials.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Versioned endpoints, ticket-write confirmation, and role-based permissions.",High,https://support.liveagent.com/840138-Complete-API-reference; https://support.liveagent.com/647358-MCP-Integration-for-Agents,2026-08-18
17,Plain,Support and Helpdesk,"API-first customer support platform for customers, threads, messages, labels, SLAs, and support workflows.",Mixed,API key; OAuth2,Self-serve,Developer workspaces and API keys are directly available.,GraphQL; Webhooks,Broad,Official,Action,Ready,Easy win,"GraphQL schema complexity, customer-message safety, and tenant permissions.",High,https://www.plain.com/docs/api-reference/graphql/authentication; https://www.plain.com/docs/mcp,2026-08-18
18,Help Scout,Support and Helpdesk,"Helpdesk for mailboxes, conversations, customers, users, workflows, reports, and knowledge base.",OAuth2,OAuth2,Admin/paid,"OAuth apps are creatable, but testing needs an active Help Scout account or trial and admin consent.",REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Paid tenant, mailbox permissions, communication risk, and no native MCP verified.",High,https://developer.helpscout.com/mailbox-api/overview/authentication/; https://developer.helpscout.com/mailbox-api/,2026-08-18
19,Gorgias,Support and Helpdesk,"Ecommerce helpdesk for tickets, customers, macros, rules, help center, analytics, and commerce context.",Mixed,OAuth2; API key,Admin/paid,API access requires a Gorgias helpdesk account; the MCP is available on helpdesk plans.,REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Beta maturity, role permissions, customer replies, and settings changes.",High,https://developers.gorgias.com/reference/authentication; https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546,2026-08-18
20,Gladly,Support and Helpdesk,"Enterprise customer-service platform for people, conversations, tasks, channels, knowledge, and routing.",Mixed,OAuth2; issued credentials,Partner/sales,Developer access is associated with an enterprise customer or partner engagement.,REST; Webhooks,Broad,None,None,Blocked,Outreach first,"Enterprise contract, provisioned tenant, limited public sandbox access, and no native MCP verified.",High,https://developer.gladly.com/; https://developer.gladly.com/rest-api/authentication/,2026-08-18
21,Slack,Communications and Messaging,"Team messaging platform for channels, messages, users, files, canvases, workflows, and search.",OAuth2,OAuth2; bot token; app-level token,Self-serve,"Apps, development workspaces, tokens, and Socket Mode are self-serve.",REST; Web API; Events; Socket Mode,Broad,Official,Action,Ready,Easy win,"Workspace admin policy, granular scopes, message-posting risk, and enterprise controls.",High,https://api.slack.com/authentication/oauth-v2; https://api.slack.com/mcp,2026-08-18
22,Twilio,Communications and Messaging,"Communications APIs for messaging, voice, verification, phone numbers, video, and email products.",Mixed,Basic; API key; OAuth2,Self-serve,Trial accounts and API credentials are self-serve.,REST; Webhooks; WebSocket,Broad,Official,Developer,Ready,Easy win,The official MCP is mainly API-spec and developer tooling; account actions still need explicit API tools and spend controls.,High,https://www.twilio.com/docs/iam/api-keys; https://www.twilio.com/docs/usage/mcp-server,2026-08-18
23,Zoho Cliq,Communications and Messaging,"Team chat platform for channels, messages, users, bots, commands, widgets, and workflows.",OAuth2,OAuth2,Self-serve,Zoho API Console and Cliq workspaces provide a direct path.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Regional endpoints, workspace permissions, and message-posting confirmation.",High,https://www.zoho.com/cliq/help/platform/oauth.html; https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html,2026-08-18
24,Lark (Larksuite),Communications and Messaging,"Collaboration suite for messaging, calendar, docs, sheets, approvals, contacts, and workplace apps.",OAuth2,OAuth2; tenant token; app token,Review/approval,"Apps are self-created, but production distribution and sensitive permissions require tenant admin or marketplace review.",REST; Events; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Tenant approval, scope review, regional endpoints, and broad cross-product permissions.",High,https://open.larksuite.com/document/server-docs/authentication-management/access-token/tenant_access_token_internal; https://open.feishu.cn/document/mcp_open_tools/developers-call-remote-mcp-server,2026-08-18
25,Pumble,Communications and Messaging,"Team communication platform for workspaces, channels, messages, users, files, and webhooks.",Mixed,OAuth2; bot token,Self-serve,Workspaces and developer integrations can be created directly.,REST; Webhooks,Moderate,Official,Action,Ready,Easy win,"Smaller API surface, workspace permissions, and message-write confirmation.",High,https://pumble.com/help/integrations/pumble-api/; https://pumble.com/help/integrations/automation-workflow-integrations/how-to-use-the-pumble-mcp-server/,2026-08-18
26,Discord,Communications and Messaging,"Community messaging platform for guilds, channels, messages, members, roles, threads, and interactions.",Mixed,OAuth2; bot token,Self-serve,"Developer applications, test servers, bots, and OAuth credentials are self-serve.",REST; Gateway; Webhooks,Broad,Official,Docs-only,Ready,Easy win,"Official MCP is developer documentation context, not a general Discord-account action server; bots still need explicit tools.",High,https://discord.com/developers/docs/topics/oauth2; https://discord.com/developers/docs/developer-tools/mcp,2026-08-18
27,Telegram,Communications and Messaging,"Messaging platform with Bot API and client APIs for chats, messages, media, updates, and payments.",Token,Bot token; MTProto app credentials,Self-serve,BotFather issues bot tokens instantly; full client APIs require an app ID and phone-based account.,REST; Long polling; Webhooks; MTProto,Broad,None,None,Ready,Easy win,"No vendor-native MCP verified, bot limitations, abuse controls, and distinction between Bot API and user accounts.",High,https://core.telegram.org/bots/api; https://core.telegram.org/api/obtaining_api_id,2026-08-18
28,WhatsApp Business,Communications and Messaging,"Business messaging platform for templates, conversations, media, phone numbers, and webhooks.",OAuth2,User token; system-user token; temporary test token,Review/approval,"Test numbers are self-serve, while production needs a Meta business, WABA, phone registration, and often verification or review.",Graph API; Webhooks,Broad,Official,Docs-only,Ready with constraints,Pilot with guardrails,"Business verification, template review, messaging policy, phone setup, and customer-consent controls.",High,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started; https://developers.facebook.com/docs/development/mcp,2026-08-18
29,Aircall,Communications and Messaging,"Cloud phone and contact-center platform for calls, users, numbers, contacts, tags, and webhooks.",Mixed,OAuth2; Basic with API ID and token,Partner/sales,Internal credentials require a customer tenant; public OAuth apps use the Technology Partner path.,REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Technology Partner path, tenant access, and no existing Aircall-account MCP; AI Virtual Agent MCP guidance is marked coming soon.",High,https://developer.aircall.io/docs/authentication; https://developer.aircall.io/docs/introduction,2026-08-18
30,Vonage,Communications and Messaging,"Communications APIs for SMS, voice, video, verification, messaging, and contact-center workflows.",Mixed,API key and secret; JWT,Self-serve,"Developer accounts, trial credit, and applications are self-serve.",REST; Webhooks; WebSocket,Broad,Official,Local action,Ready,Easy win,"Phone-number cost, messaging registration, jurisdictional compliance, and local-tool deployment.",High,https://developer.vonage.com/en/getting-started/concepts/authentication; https://developer.vonage.com/en/tools/mcp,2026-08-18
31,Google Ads,"Marketing, Ads, Email and Social","Advertising API for campaigns, accounts, reporting, audiences, budgets, assets, and conversions.",Mixed,OAuth2; developer token,Review/approval,"OAuth is self-serve, but production developer-token access levels are reviewed.",REST; gRPC,Broad,Official,Read-only,Ready with constraints,Pilot with guardrails,"Developer-token approval, manager-account setup, policy compliance, and read-only MCP scope.",High,https://developers.google.com/google-ads/api/docs/oauth/overview; https://developers.google.com/google-ads/api/docs/model-context-protocol,2026-08-18
32,Meta Ads,"Marketing, Ads, Email and Social","Advertising APIs for campaigns, ad sets, creatives, audiences, pixels, insights, and business assets.",OAuth2,User token; system-user token,Review/approval,"Test assets are available, but production permissions often require app review and business verification.",Graph API; Webhooks,Broad,Official,Docs-only,Ready with constraints,Pilot with guardrails,"App review, business verification, asset permissions, and policy-sensitive writes.",High,https://developers.facebook.com/docs/marketing-apis; https://developers.facebook.com/docs/development/mcp,2026-08-18
33,LinkedIn Ads,"Marketing, Ads, Email and Social","Marketing APIs for ad accounts, campaigns, creatives, audiences, lead forms, and reporting.",OAuth2,OAuth2,Review/approval,"A developer app is self-serve, but Marketing API products and expanded access require application and approval.",REST,Broad,None,None,Ready with constraints,Pilot with guardrails,"Product-access approval is the main blocker, followed by strict scopes and versioning.",High,https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview; https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access,2026-08-18
34,GoHighLevel,"Marketing, Ads, Email and Social","Sales and marketing platform for contacts, conversations, calendars, opportunities, workflows, and agencies.",Mixed,OAuth2; private integration token,Admin/paid,Private integrations are created inside an account; marketplace apps use OAuth and review.,REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Agency or location account, marketplace review, and high-impact workflow actions.",High,https://marketplace.gohighlevel.com/docs/ghl/oauth/oauth-2-0-v-3/; https://marketplace.gohighlevel.com/docs/other/mcp/index.html,2026-08-18
35,Mailchimp,"Marketing, Ads, Email and Social","Email marketing platform for audiences, campaigns, automations, templates, reports, and ecommerce events.",Mixed,API key; OAuth2,Self-serve,API keys and OAuth apps are available from a Mailchimp account.,REST; Webhooks,Broad,Official,Limited action,Ready,Easy win,"Vendor MCP coverage is mainly Mailchimp Transactional, not the full Marketing API; enforce consent and sending safeguards.",High,https://mailchimp.com/developer/marketing/docs/fundamentals/; https://mailchimp.com/developer/transactional/docs/mcp/,2026-08-18
36,Klaviyo,"Marketing, Ads, Email and Social","Marketing automation and customer-data platform for profiles, events, lists, segments, campaigns, and metrics.",Mixed,Private API key; OAuth2,Self-serve,Private keys are self-serve; public OAuth apps require review and security checks.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Consent-safe messaging, profile-data sensitivity, OAuth review, and rate limits.",High,https://developers.klaviyo.com/en/docs/authenticate_; https://developers.klaviyo.com/en/docs/mcp_server,2026-08-18
37,systeme.io,"Marketing, Ads, Email and Social","Funnel, email, course, affiliate, and sales automation platform.",API key,API key,Self-serve,Users can generate public API credentials from their account.,REST,Moderate,Official,Action,Ready,Easy win,"Narrower surface, email consent, and workflow side effects.",High,https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api; https://help.systeme.io/article/9489-how-to-use-systeme-ios-mcp,2026-08-18
38,Pinterest,"Marketing, Ads, Email and Social","Visual discovery and advertising platform for pins, boards, catalogs, analytics, and ads.",OAuth2,OAuth2 authorization code; client credentials for limited endpoints,Review/approval,"Apps need Trial access approval, then Standard access for production breadth and rate limits.",REST,Broad,None,None,Ready with constraints,Pilot with guardrails,"Trial and Standard review, business account, policy compliance, and no native MCP verified.",High,https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/; https://developers.pinterest.com/docs/key-concepts/access-tiers/,2026-08-18
39,Threads (Meta),"Marketing, Ads, Email and Social","Social publishing API for Threads profiles, posts, replies, mentions, and insights.",OAuth2,Meta access token,Review/approval,Developers can test with app roles; public use follows Meta review and permission rules.,Graph API,Moderate,None,None,Ready with constraints,Pilot with guardrails,"Meta review, permissions, narrower surface, and no Threads-specific action MCP verified.",High,https://developers.facebook.com/docs/threads/get-started; https://developers.facebook.com/docs/development/create-an-app/threads-use-case,2026-08-18
40,SendGrid,"Marketing, Ads, Email and Social","Transactional and marketing email platform for sending, templates, contacts, events, suppressions, and analytics.",API key,Bearer API key,Self-serve,Accounts and scoped API keys are self-serve; production sending depends on sender verification.,REST; Webhooks,Broad,Official,Docs-only,Ready,Easy win,"Official Twilio MCP and skills expose SendGrid developer context, while execution still needs explicit API tools and reputation controls.",High,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication; https://www.twilio.com/docs/usage/mcp-server,2026-08-18
41,Shopify,Ecommerce,"Commerce platform for products, orders, customers, inventory, fulfillment, discounts, storefronts, and checkout.",Mixed,OAuth2; custom app token,Self-serve,Partner accounts and development stores are self-serve; public distribution uses app review.,GraphQL Admin; Storefront GraphQL; REST legacy; Webhooks,Broad,Official,Storefront,Ready,Easy win,"Admin writes still need GraphQL tools and app scopes; storefront MCP focuses shopping, cart, checkout, and customer tasks.",High,https://shopify.dev/docs/apps/build/authentication-authorization; https://shopify.dev/docs/apps/build/storefront-mcp,2026-08-18
42,WooCommerce,Ecommerce,"Open-source WordPress commerce platform for products, orders, customers, coupons, shipping, and reports.",Mixed,Consumer key and secret; Basic; OAuth1 over HTTP,Open-source/local,Any store owner can install WooCommerce and generate REST credentials.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"WordPress plugin/version variance, self-hosting security, refunds, and destructive store actions.",High,https://woocommerce.github.io/woocommerce-rest-api-docs/; https://developer.woocommerce.com/docs/features/mcp/,2026-08-18
43,BigCommerce,Ecommerce,"Commerce platform for catalog, orders, customers, inventory, channels, storefronts, carts, and checkout.",Mixed,OAuth2; store access token,Self-serve,Sandbox stores and app credentials are available through the developer portal and trial path.,REST; GraphQL; Webhooks,Broad,Official,Storefront,Ready,Easy win,Storefront MCP is shopper-focused; admin operations still need scoped API tools and app review.,High,https://developer.bigcommerce.com/docs/start/authentication; https://www.bigcommerce.com/blog/storefront-mcp/,2026-08-18
44,Salesforce Commerce Cloud,Ecommerce,"Enterprise commerce platform for products, pricing, inventory, orders, promotions, shoppers, and admin operations.",OAuth2,OAuth2 client credentials; shopper token,Admin/paid,"Requires a contracted Commerce Cloud tenant, API client setup, and administrator-selected roles.",REST; SCAPI; OCAPI,Broad,Official,Platform bridge,Ready with constraints,Pilot with guardrails,"Enterprise tenant, role configuration, API-family complexity, and Salesforce-hosted MCP setup.",Medium,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html; https://developer.salesforce.com/docs/platform/mcp/overview,2026-08-18
45,Magento (Adobe Commerce),Ecommerce,"Open-source and enterprise commerce platform for catalog, customers, carts, orders, inventory, and extensions.",Mixed,Integration token; OAuth1; OAuth2 server-to-server for SaaS,Open-source/local,Magento Open Source is self-hosted; Adobe Commerce cloud features require a paid organization.,REST; GraphQL; Webhooks; Events,Broad,Official,Developer,Ready,Easy win,"Deployment variation, extension complexity, version drift, and developer-focused rather than universal admin MCP tools.",High,https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-token/; https://developer.adobe.com/commerce/extensibility/developer-agent/coding-tools,2026-08-18
46,Squarespace,Ecommerce,"Website and commerce platform for products, orders, inventory, transactions, webhooks, and site extensions.",Mixed,OAuth2; API key,Admin/paid,"Developers can create apps, but live commerce testing requires a Squarespace site and appropriate plan.",REST; Webhooks,Moderate,None,None,Ready with constraints,Pilot with guardrails,"Paid site, narrower commerce surface, OAuth app setup, and no vendor-native MCP verified.",High,https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://developers.squarespace.com/,2026-08-18
47,Ecwid,Ecommerce,"Commerce platform for products, orders, customers, inventory, carts, storefront, and app integrations.",Mixed,OAuth2; store access token,Self-serve,Developer apps and test stores are available directly.,REST; Webhooks,Broad,Community,Action,Ready,Easy win,"No vendor-native MCP verified; third-party hosted MCP wrappers exist, so provenance and permissions must be reviewed.",Medium,https://docs.ecwid.com/get-started/authentication; https://viasocket.com/mcp/ecwid-by-lightspeed,2026-08-18
48,Gumroad,Ecommerce,"Creator-commerce platform for products, sales, subscribers, licenses, payouts, and resource subscriptions.",Mixed,OAuth2; access token,Self-serve,Creators can create an OAuth app or access token from their account.,REST; Webhooks,Moderate,Community,Action,Ready,Easy win,"No official MCP, aging API areas, creator-finance data, and third-party server maintenance.",Medium,https://gumroad.com/api; https://github.com/rmarescu/gumroad-mcp,2026-08-18
49,Amazon Selling Partner,Ecommerce,"Marketplace API suite for catalog, listings, orders, inventory, fulfillment, reports, finances, and sellers.",Mixed,Login with Amazon OAuth2; restricted data token,Review/approval,"Sandbox onboarding is available, but production developer registration, roles, seller authorization, and security review are substantial.",REST; GraphQL for Data Kiosk; Notifications,Broad,None,None,Ready with constraints,Pilot with guardrails,"Registration review, restricted-data roles, security controls, seller authorization, and no native MCP verified.",High,https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications; https://developer-docs.amazon.com/sp-api/docs,2026-08-18
50,fanbasis,Ecommerce,"Creator monetization and commerce platform for offers, payments, communities, and customer operations.",Other,Provisioned credentials,Partner/sales,The developer documentation is password-gated and no public self-serve credential path was verified.,Unknown,Unknown,None,None,Blocked,Outreach first,"Password-gated docs, unclear auth and surface, and no public sandbox.",Low,https://dev-docs.fanbasis.com/; https://fanbasis.com/,2026-08-18
51,DataForSEO,"Data, SEO and Scraping","SEO data APIs for SERPs, keywords, backlinks, domains, business data, app data, and content analysis.",Basic,Basic with login and password,Self-serve,Registration and pay-as-you-go API access are self-serve.,REST; Webhooks,Broad,None,None,Ready,Easy win,"Usage cost, asynchronous jobs, result size, and no native MCP verified.",High,https://docs.dataforseo.com/v3/auth/; https://docs.dataforseo.com/v3/,2026-08-18
52,SE Ranking,"Data, SEO and Scraping","SEO platform API for rankings, competitors, audits, backlinks, keywords, and projects.",Token,API token,Admin/paid,API availability is tied to eligible paid plans and account-issued tokens.,REST,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Paid entitlement, rate limits, job latency, and SEO data cost.",High,https://seranking.com/api/how-to-get-api/; https://seranking.com/api/integrations/mcp/,2026-08-18
53,Ahrefs,"Data, SEO and Scraping","SEO and web-intelligence APIs for backlinks, domains, keywords, rankings, and site metrics.",API key,Bearer API key,Admin/paid,Meaningful API access requires a qualifying paid subscription or API plan.,REST,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Paid entitlement, row-unit cost, quotas, and data licensing.",High,https://docs.ahrefs.com/docs/api/reference/introduction; https://docs.ahrefs.com/en/mcp/overview,2026-08-18
54,MrScraper,"Data, SEO and Scraping","Web scraping API for pages, structured extraction, browser rendering, and asynchronous jobs.",Token,Bearer token,Self-serve,"Accounts, trial credits, and tokens are self-serve.",REST; Webhooks,Moderate,None,None,Ready,Easy win,"Robots and site terms, dynamic-page reliability, cost, and no native MCP verified.",High,https://docs.mrscraper.com/api-reference/authentication; https://docs.mrscraper.com/,2026-08-18
55,Apify,"Data, SEO and Scraping","Cloud platform for web-scraping actors, datasets, crawlers, storage, schedules, and automation.",Mixed,API token; OAuth2,Self-serve,"Free accounts, public actors, tokens, and usage credits are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Untrusted actors, scraping legality, spend, long-running jobs, and large datasets.",High,https://docs.apify.com/api/v2; https://docs.apify.com/platform/integrations/mcp,2026-08-18
56,Firecrawl,"Data, SEO and Scraping","Web crawling and extraction API for scrape, crawl, map, search, structured data, and browser tasks.",API key,Bearer API key,Self-serve,Cloud trial credits and open-source self-hosting are available.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Target-site policy, spend, prompt injection in pages, and asynchronous crawling.",High,https://docs.firecrawl.dev/api-reference/introduction; https://docs.firecrawl.dev/mcp-server,2026-08-18
57,Bright Data,"Data, SEO and Scraping","Web data platform for proxies, scraping browser, datasets, SERP, unlocker, and crawlers.",Token,API token,Admin/paid,"Trials exist, but production requires paid zones, compliance checks, and configured products.",REST; WebSocket,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Compliance, proxy spend, target-site policy, sensitive datasets, and administrator controls.",High,https://docs.brightdata.com/api-reference/authentication; https://docs.brightdata.com/ai/mcp-server/remote/quickstart,2026-08-18
58,Sherlock,"Data, SEO and Scraping",Open-source CLI that checks usernames across many social networks.,None,No auth for local use,Open-source/local,Source and package are public and run locally.,CLI,Local,Local skill,Local action,Ready,Easy win,"False positives, site changes, rate limits, privacy, and misuse prevention.",High,https://github.com/sherlock-project/sherlock,2026-08-18
59,Waterfall.io,"Data, SEO and Scraping","Contact and company intelligence platform for enrichment, identity resolution, and multi-provider data waterfalls.",API key,API key,Admin/paid,API access requires a paid workspace or sales-assisted plan.,REST,Moderate,None,None,Ready with constraints,Pilot with guardrails,"Paid credits, personal-data handling, provider provenance, and no native MCP verified.",Medium,https://waterfall.io/; https://docs.waterfall.io/,2026-08-18
60,Clay,"Data, SEO and Scraping","GTM data and workflow platform for enrichment, research, tables, signals, sequencing, and provider orchestration.",Mixed,OAuth2; API key,Admin/paid,Workspace and API access depend on plan and administrator settings; new accounts receive limited credits.,REST; Webhooks; CLI,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Credit burn, provider terms, admin controls, personal data, and workflow side effects.",High,https://developers.clay.com/; https://www.clay.com/mcp,2026-08-18
61,GitHub,"Developer, Infra and Data platforms","Code-hosting platform for repositories, issues, pull requests, actions, releases, projects, and security.",Mixed,OAuth2; PAT; GitHub App token,Self-serve,"Accounts, apps, test repositories, and scoped tokens are self-serve.",REST; GraphQL; Webhooks,Broad,Official,Action,Ready,Easy win,"Repository permissions, destructive actions, branch protection, secrets, and prompt-injection risk.",High,https://docs.github.com/en/authentication; https://github.com/github/github-mcp-server,2026-08-18
62,Vercel,"Developer, Infra and Data platforms","Cloud platform for projects, deployments, domains, environment variables, logs, analytics, and teams.",Mixed,OAuth2; access token,Self-serve,"Free accounts, teams, projects, and personal tokens are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Deployment, domain, environment-secret, and production mutation safeguards.",High,https://vercel.com/docs/rest-api; https://vercel.com/docs/agent-resources/vercel-mcp,2026-08-18
